order,p,d,q,aic,bic
"(2, 1, 4)",2,1,4,315.1988996960589,334.92616464529556
"(2, 0, 5)",2,0,5,315.2809614490998,337.47413451699106
"(2, 1, 3)",2,1,3,316.42464121805756,333.765998919405
"(1, 0, 5)",1,0,5,316.55953568415276,336.2868006333894
"(4, 1, 4)",4,1,4,316.58188317097176,341.2409643575176
"(6, 0, 6)",6,0,6,317.1687562399259,351.529618387475
"(1, 0, 4)",1,0,4,317.2032384955456,334.54459619689305
"(0, 1, 2)",0,1,2,317.21198973042067,327.1665352093492
"(0, 0, 6)",0,0,6,317.28227963284075,336.9170580028688
"(3, 1, 3)",3,1,3,317.4880572397133,337.306751755539
"(5, 1, 4)",5,1,4,317.5358432218435,344.6608325270439
"(1, 2, 2)",1,2,2,317.8881116780482,330.27479575043924
"(2, 2, 3)",2,2,3,318.15197093904436,335.41332776962645
"(1, 2, 3)",1,2,3,319.12460312718383,333.92005183911135
"(1, 1, 2)",1,1,2,319.19753751550473,331.6407193641654
